"Date","Time","C&C","C&C Port","C&C ASN","C&C Geo","C&C DNS","Channel","Command","TGT","TGT ASN","TGT Geo","TGT DNS"
"2008-11-03","00:00:12","76.76.19.73",1863,13618,"US","unknown.carohosting.net","#ha","!alls","98.124.192.1",21740,"US",""
"2008-11-03","00:12:51","79.135.167.22",80,9121,"TR","turkeyonline.name","http","flood http oborot.ru","89.108.83.16",39561,"RU","oborot.ru"
"2008-11-03","00:12:51","64.28.187.50",80,36445,"US","www.f-gaming.com","http","flood http dapf.us","85.232.156.101",34857,"LT","dapf.us"
"2008-11-03","00:12:51","64.28.187.50",80,36445,"US","www.f-gaming.com","http","flood http cats-bengal.com","85.232.156.101",34857,"LT","cats-bengal.com"
"2008-11-03","00:12:51","64.28.187.50",80,36445,"US","www.f-gaming.com","http","flood http neowarez.ru","85.232.156.101",34857,"LT","neowarez.ru"
"2008-11-03","00:12:51","64.28.187.50",80,36445,"US","www.f-gaming.com","http","flood http nitrohost.org","85.232.156.101",34857,"LT","nitrohost.org"
"2008-11-03","00:12:52","64.28.187.50",80,36445,"US","www.f-gaming.com","http","flood http novikovhome.com","85.232.156.101",34857,"LT","novikovhome.com"
"2008-11-03","00:12:54","64.28.187.50",80,36445,"US","www.f-gaming.com","http","flood http xaos.az","85.232.156.101",34857,"LT","xaos.az"
"2008-11-03","00:12:56","115.126.2.110",80,38186,"HK","oiltraf.cn","http","flood http avxp08.com/overview/?UID=overview","","","","avxp08.com"
"2008-11-03","00:13:00","203.117.111.52",80,4657,"SG","cxim.inattack.ru","http","flood http www.adapoker.com","174.133.134.250",30315,"US","www.adapoker.com"
