timestamp,ip,port,asn,geo,region,city,dns,type,password,os_name,os_version,via
2012-04-13 00:01:44,209.89.38.132,12715,852,CA,BRITISH COLUMBIA,BURNABY,,SOCKS,,,,
2012-04-13 00:01:46,70.123.161.38,6515,11427,US,TEXAS,KILLEEN,,HTTP,,,,1.1 Dave-PC (McAfee Relay Server 5.2.1)
2012-04-13 00:02:10,41.237.231.139,8080,8452,EG,AL QAHIRAH,CAIRO,,HTTP,,,,1.1 wirless:8080 (squid/2.5.STABLE11)
2012-04-13 00:02:17,75.125.208.10,8118,21844,US,TEXAS,DALLAS,,HTTP,,,,
2012-04-13 00:02:31,184.168.135.67,808,26496,US,-,-,,HTTP,,,,
2012-04-13 00:02:34,24.44.26.68,1837,6128,US,CONNECTICUT,MILFORD,,SOCKS,,,,
2012-04-13 00:03:22,180.247.144.71,8080,17974,ID,JAKARTA RAYA,JAKARTA,,HTTP,,,,1.1 180.247.144.71 (Mikrotik HttpProxy)
2012-04-13 00:03:51,71.207.53.182,6515,7922,US,PENNSYLVANIA,HARRISBURG,,HTTP,,,,1.1 IQ-K12-Laptop (McAfee Relay Server 5.2.3)
2012-04-13 00:04:00,202.169.226.214,3128,23671,ID,-,-,,HTTP,,,,1.1 janten-proxy:3128 (squid/2.5.STABLE11)
2012-04-13 00:04:12,67.86.235.220,1285,6128,US,CONNECTICUT,STAMFORD,,HTTP,,,,
2012-04-13 00:04:51,186.225.106.146,3128,28669,BR,-,-,,HTTP,,,,1.1 172.31.255.2 (Mikrotik HttpProxy)
